SUMMARY
workflow_id,6afa36b6-d58b-4416-ada9-d307964c3034
timestamp,2025-12-01T21:23:34.551750Z
num_tasks,6
num_edges,5
optimal_cost,1075.288873
evaluation,"Optimal policy found: U(w,p*) = 1075.288873"

PLACEMENT POLICY
task_id,task_v (if available),assigned_location
1,7859215.0,1
2,7490526.0,1
3,25090698.0,1
4,24082477.0,1
5,7224068.0,1
6,26496489.0,1

EDGES
u,v,bytes
1,2,586938.8326294161
5,2,9734940.755263355
6,2,5645287.464488361
2,3,778190.7082306627
2,4,2010375.7747769877
