SUMMARY
workflow_id,ea908b19-4fef-4de9-ba95-f4f73168152a
timestamp,2025-12-01T21:42:03.933995Z
num_tasks,6
num_edges,5
optimal_cost,1270.490654
evaluation,"Optimal policy found: U(w,p*) = 1270.490654"

PLACEMENT POLICY
task_id,task_v (if available),assigned_location
1,29737108.0,5
2,14774596.0,5
3,28541496.0,5
4,14092207.0,5
5,16209681.0,5
6,12414588.0,5

EDGES
u,v,bytes
1,2,2493941.6513438784
4,2,14428262.421091603
5,2,1272966.7993705617
2,3,1012959.0161573836
2,6,9023647.127535243
